Title,Year,Languages,Suggestion ID,Suggestions
Fierce,2020,"German, English, Spanish, Spanish, French, Italian, Polish, Portuguese, Turkish",81205993,"81318514, 81252928, 81485781, 81426667, 81132038, 81452638, 81248118, 81002685, 80994878, 70243457, 80158485, 81259382"
Tiny Pretty Things,2020,"German, English, Spanish, Spanish, French, Hindi, Italian, Japanese, Polish, Portuguese, Turkish, Ukrainian",81017308,"81328187, 80243706, 80211686, 81459931, 81002685, 80197989, 80200942"
S.W.A.T.: Under Siege,2017,"German, English, Spanish, French, Hindi, Italian, Japanese, Polish, Portuguese, Turkish",81086887,"70197438, 80200961, 80101436, 70162962, 80191372, 60024924, 70170562, 81005258, 70273614, 81322579, 81279324, 80097221"
Bartkowiak,2021,"Czech, German, English, Spanish, Spanish, French, Hindi, Hungarian, Italian, Polish, Portuguese, Russian, Thai, Turkish",81265968,"70197438, 81486233, 80191372, 81498377, 81570254, 80101436, 81005258, 81307119, 81319170, 81721676, 81218770, 80200961"
Sixty Minutes,2024,"Czech, German, English, Spanish, Spanish, French, Hindi, Hungarian, Indonesian, Italian, Japanese, Polish, Portuguese, Thai, Turkish",81486233,"81721676, 81446739, 80101436, 70197438, 81265968, 81672085, 80109145, 81199140, 80240904, 81444051, 81572011, 81727155"
A Prayer Before Dawn,2018,English,80191372,"70197438, 81691509, 80174972, 80101436, 81570254, 81043365, 81690671, 60024922, 81265968, 70273614, 80242342, 81285617"
The Hard Way,2019,"German, English, Spanish, Spanish, French, Italian, Japanese, Polish, Portuguese, Turkish",80200961,"70197438, 81086887, 80101436, 81280035, 60024924, 81005258, 81199140, 81674658, 80097221, 80161921, 80021752, 80216309"
Bruised,2021,"Unknown, Czech, German, English, Spanish, Spanish, French, Hindi, Hungarian, Italian, Japanese, Polish, Portuguese, Russian, Turkish, Ukrainian",81043365,"80117458, 80191372, 81028975, 70197438, 81435227, 81691509, 80992607, 80210920, 80223927, 80015785, 60024922, 81001287"
Furioza,2022,"Czech, English, Spanish, Spanish, French, Hungarian, Italian, Polish, Portuguese, Russian, Ukrainian",81570254,"80191372, 81265968, 81486233, 70197438, 80101436, 80025919, 81312828, 81348771, 81115400, 81000511, 80152434, 81498377"
The Longest Yard,2005,"German, English, Spanish, Spanish, French, Italian, Japanese, Polish, Portuguese, Turkish",70021637,"70125231, 80242342, 17236928, 21303955, 215318, 80067830, 70267242, 215309, 80037476, 81414099, 80094318, 60022059"
Uncut Gems,2019,"Czech, German, English, Spanish, Spanish, French, Hindi, Hungarian, Italian, Japanese, Polish, Portuguese, Russian, Turkish",80990663,"80242342, 70132721, 70084788, 70201437, 80175798, 81301595, 81092221, 80064514, 60024922, 81683692, 80152434, 81725549"
Steve Jobs,2015,"English, Spanish, Spanish, French, Hindi, Italian, Japanese, Polish, Portuguese, Russian, Turkish",80049358,"70132721, 81186296, 70201437, 70084788, 60011152, 81773534, 70005379, 60024922, 70032595, 80064514, 81488972"
